21:19:49.146404 git.c:811               trace: exec: git-credential-osxkeychain get
21:19:49.146544 run-command.c:673       trace: run_command: git-credential-osxkeychain get
21:19:49.146556 run-command.c:765       trace: start_command: /opt/homebrew/opt/git/libexec/git-core/git-credential-osxkeychain get
21:19:54.713364 http.c:994              == Info: Found bundle for host: 0x1052a8060 [can multiplex]
21:19:54.713399 http.c:994              == Info: Re-using existing connection with host github.com
21:19:54.713412 http.c:994              == Info: Server auth using Basic with user 'martybprod'
21:19:54.713434 http.c:994              == Info: [HTTP/2] [3] OPENED stream for https://github.com/martybprod/tatrame.git/info/refs?service=git-receive-pack
21:19:54.713439 http.c:994              == Info: [HTTP/2] [3] [:method: GET]
21:19:54.713441 http.c:994              == Info: [HTTP/2] [3] [:scheme: https]
21:19:54.713444 http.c:994              == Info: [HTTP/2] [3] [:authority: github.com]
21:19:54.713460 http.c:994              == Info: [HTTP/2] [3] [:path: /martybprod/tatrame.git/info/refs?service=git-receive-pack]
21:19:54.713462 http.c:994              == Info: [HTTP/2] [3] [authorization: Basic <redacted>]
21:19:54.713464 http.c:994              == Info: [HTTP/2] [3] [user-agent: git/2.55.0]
21:19:54.713466 http.c:994              == Info: [HTTP/2] [3] [accept: */*]
21:19:54.713468 http.c:994              == Info: [HTTP/2] [3] [accept-encoding: deflate, gzip]
21:19:54.713470 http.c:994              == Info: [HTTP/2] [3] [accept-language: fr-CA, *;q=0.9]
21:19:54.713472 http.c:994              == Info: [HTTP/2] [3] [pragma: no-cache]
21:19:54.713541 http.c:941              => Send header, 0000000302 bytes (0x0000012e)
21:19:54.713545 http.c:953              => Send header: GET /martybprod/tatrame.git/info/refs?service=git-receive-pack HTTP/2
21:19:54.713548 http.c:953              => Send header: Host: github.com
21:19:54.713549 http.c:953              => Send header: Authorization: Basic <redacted>
21:19:54.713551 http.c:953              => Send header: User-Agent: git/2.55.0
21:19:54.713553 http.c:953              => Send header: Accept: */*
21:19:54.713554 http.c:953              => Send header: Accept-Encoding: deflate, gzip
21:19:54.713556 http.c:953              => Send header: Accept-Language: fr-CA, *;q=0.9
21:19:54.713557 http.c:953              => Send header: Pragma: no-cache
21:19:54.713559 http.c:953              => Send header:
21:19:54.713568 http.c:994              == Info: Request completely sent off
21:19:55.057473 http.c:941              <= Recv header, 0000000013 bytes (0x0000000d)
21:19:55.057515 http.c:953              <= Recv header: HTTP/2 200
21:19:55.057523 http.c:941              <= Recv header, 0000000026 bytes (0x0000001a)
21:19:55.057526 http.c:953              <= Recv header: server: GitHub-Babel/3.0
21:19:55.057530 http.c:941              <= Recv header, 0000000060 bytes (0x0000003c)
21:19:55.057532 http.c:953              <= Recv header: content-type: application/x-git-receive-pack-advertisement
21:19:55.057536 http.c:941              <= Recv header, 0000000054 bytes (0x00000036)
21:19:55.057538 http.c:953              <= Recv header: content-security-policy: default-src 'none'; sandbox
21:19:55.057549 http.c:941              <= Recv header, 0000000040 bytes (0x00000028)
21:19:55.057552 http.c:953              <= Recv header: expires: Fri, 01 Jan 1980 00:00:00 GMT
21:19:55.057558 http.c:941              <= Recv header, 0000000018 bytes (0x00000012)
21:19:55.057560 http.c:953              <= Recv header: pragma: no-cache
21:19:55.057563 http.c:941              <= Recv header, 0000000053 bytes (0x00000035)
21:19:55.057564 http.c:953              <= Recv header: cache-control: no-cache, max-age=0, must-revalidate
21:19:55.057568 http.c:941              <= Recv header, 0000000023 bytes (0x00000017)
21:19:55.057570 http.c:953              <= Recv header: vary: Accept-Encoding
21:19:55.057572 http.c:941              <= Recv header, 0000000045 bytes (0x0000002d)
21:19:55.057574 http.c:953              <= Recv header: strict-transport-security: max-age=31536000
21:19:55.057576 http.c:941              <= Recv header, 0000000037 bytes (0x00000025)
21:19:55.057577 http.c:953              <= Recv header: date: Fri, 11 Sep 2026 00:19:56 GMT
21:19:55.057579 http.c:941              <= Recv header, 0000000056 bytes (0x00000038)
21:19:55.057581 http.c:953              <= Recv header: x-github-request-id: 9D3F:47B05:1942E0:20D86B:6AA34926
21:19:55.057583 http.c:941              <= Recv header, 0000000027 bytes (0x0000001b)
21:19:55.057584 http.c:953              <= Recv header: x-github-edge-region: iad
21:19:55.057586 http.c:941              <= Recv header, 0000000023 bytes (0x00000017)
21:19:55.057587 http.c:953              <= Recv header: x-frame-options: DENY
21:19:55.057590 http.c:941              <= Recv header, 0000000002 bytes (0x00000002)
21:19:55.057591 http.c:953              <= Recv header:
21:19:55.057610 http.c:994              == Info: Connection #0 to host github.com left intact
21:19:55.057639 run-command.c:673       trace: run_command: 'git credential-osxkeychain store'
21:19:55.057643 run-command.c:765       trace: start_command: /bin/sh -c 'git credential-osxkeychain store' 'git credential-osxkeychain store'
21:19:55.067796 git.c:811               trace: exec: git-credential-osxkeychain store
21:19:55.067943 run-command.c:673       trace: run_command: git-credential-osxkeychain store
21:19:55.067954 run-command.c:765       trace: start_command: /opt/homebrew/opt/git/libexec/git-core/git-credential-osxkeychain store
21:19:55.073221 run-command.c:673       trace: run_command: git send-pack --stateless-rpc --helper-status --thin --no-progress https://github.com/martybprod/tatrame.git/ --stdin
21:19:55.073238 run-command.c:765       trace: start_command: /opt/homebrew/opt/git/libexec/git-core/git send-pack --stateless-rpc --helper-status --thin --no-progress https://github.com/martybprod/tatrame.git/ --stdin
